Q_INCA,p_druck_bereinigt_1,p_druck_bereinigt_2,p_druck_bereinigt_3,p_druck_bereinigt_4,p_druck_bereinigt_5,p_druck_bereinigt_6,p_druck_bereinigt_7,p_druck_bereinigt_8,p_druck_bereinigt_9,p_druck_bereinigt_10,p_druck_bereinigt_11,p_druck_bereinigt_12,p_druck_bereinigt_13,p_druck_bereinigt_14,p_druck_bereinigt_15,p_druck_bereinigt_16,p_druck_bereinigt_17,p_druck_bereinigt_18,p_druck_bereinigt_19,p_druck_bereinigt_20,nEng
88.4886833014978,-7819.375,-8116.75,-8039.375,-7647.6875,-8126.5,-7500.75,-7604.875,-3978.8125,-748.75,0.0,-11734.063,-17491.688000000002,-19377.063000000002,-18575.063000000002,-19176.875,-18926.75,-18005.75,-14306.563,-9841.5,-9113.3125,940.0
32.977,-3869.4,-4533.0,-4589.3,-4200.2,-4520.8,-4106.8,-4564.6,-3840.2,-2052.3,0.0,-1903.8,-7435.8,-7226.0,-8673.3,-7055.8,-8640.6,-7604.0,-7927.4,-6126.6,-5675.6,1200.0
102.49,-14931.0,-13404.0,-14200.0,-13687.0,-13945.0,-13386.0,-13492.0,-8044.9,-4674.3,-1237.4,0.0,-5589.4,-22660.0,-26731.0,-30614.0,-28396.0,-30500.0,-22265.0,-18740.0,-14635.0,1280.3
24.447,-3507.5,-3190.5,-3502.8,-3247.5,-3418.5,-3028.0,-3437.9,-3154.8,-1523.3,0.0,-1934.5,-5817.8,-6059.4,-6685.0,-6332.6,-6415.5,-6552.0,-6447.1,-5239.5,-4100.6,1066.8
72.62109597227399,-8201.75,-9181.0,-7405.375,-8885.25,-7773.125,-8231.25,-8326.5,-5948.0,-3291.375,-31.75,0.0,-9715.25,-15684.125,-18327.5,-19683.5,-17849.0,-20321.75,-15616.5,-12777.0,-9281.875,1380.14
148.699717075497,-23367.625,-21544.25,-22738.875,-21729.375,-22045.625,-22063.875,-17704.0,-11090.75,-3520.625,0.0,-8712.75,-29226.375,-38579.125,-42824.375,-43084.375,-43303.25,-40322.75,-33617.125,-27900.375,-23530.5,1427.0
197.59,-29480.0,-27032.0,-29252.0,-26968.0,-28250.0,-27856.0,-18666.0,-13192.0,-3351.9,0.0,-2071.9,-19078.0,-42510.0,-49812.0,-55819.0,-55124.0,-47224.0,-43547.0,-33139.0,-30694.0,1553.5
33.597,-6786.0,-6669.3,-6675.9,-6600.1,-6610.9,-6419.0,-6536.8,-6213.1,-3285.1,-2368.1,0.0,-7349.1,-9441.3,-11126.0,-11748.0,-10595.0,-11727.0,-10967.0,-9370.8,-7898.0,1333.5
170.83,-25927.0,-25001.0,-23545.0,-25179.0,-23740.0,-23878.0,-20609.0,-12145.0,-6888.9,0.0,-2155.0,-18779.0,-35226.0,-43331.0,-48192.0,-49675.0,-43320.0,-38658.0,-32740.0,-26474.0,1740.3
64.5880461983059,-3629.5,-5452.125,-4406.625,-3808.625,-5255.5,-3566.625,-4650.25,-3632.125,-344.125,0.0,-1015.375,-10883.125,-11806.0,-12686.625,-14792.375,-11718.625,-14718.25,-11644.875,-7514.0,-7089.875,1440.29166666667
